;TCGA-BC-A10Q-11A-11R;TCGA-BC-A10R-11A-11R;TCGA-BC-A10T-11A-11R;TCGA-BC-A10U-11A-11R;TCGA-BC-A10W-11A-11R;TCGA-BC-A10X-11A-11R;TCGA-BC-A10Y-11A-11R;TCGA-BC-A10Z-11A-11R;TCGA-BC-A110-11A-11R;TCGA-BC-A216-11A-11R;TCGA-BD-A2L6-11A-21R;TCGA-BD-A3EP-11A-12R;TCGA-DD-A113-11A-12R;TCGA-DD-A114-11A-12R;TCGA-DD-A116-11A-12R;TCGA-DD-A118-11A-11R;TCGA-DD-A119-11A-11R;TCGA-DD-A11A-11A-11R;TCGA-DD-A11B-11A-11R;TCGA-DD-A11C-11A-11R;TCGA-DD-A11D-11A-12R;TCGA-DD-A1EB-11A-11R;TCGA-DD-A1EC-11A-11R;TCGA-DD-A1EE-11A-11R;TCGA-DD-A1EG-11A-11R;TCGA-DD-A1EH-11A-11R;TCGA-DD-A1EI-11A-11R;TCGA-DD-A1EJ-11A-11R;TCGA-DD-A1EL-11A-11R;TCGA-DD-A39V-11A-11R;TCGA-DD-A39W-11A-11R;TCGA-DD-A39X-11A-11R;TCGA-DD-A39Z-11A-21R;TCGA-DD-A3A1-11A-11R;TCGA-DD-A3A2-11A-11R;TCGA-DD-A3A3-11A-11R;TCGA-DD-A3A4-11A-11R;TCGA-DD-A3A5-11A-11R;TCGA-DD-A3A6-11A-11R;TCGA-DD-A3A8-11A-11R;TCGA-EP-A12J-11A-11R;TCGA-EP-A26S-11A-12R;TCGA-EP-A3RK-11A-11R;TCGA-ES-A2HT-11A-11R;TCGA-FV-A23B-11A-11R;TCGA-FV-A2QR-11A-11R;TCGA-FV-A3I0-11A-11R;TCGA-FV-A3I1-11A-11R;TCGA-FV-A3R2-11A-11R;TCGA-G3-A3CH-11A-11R
10;23.89297475;17.14192869;62.40945643;33.38401125;120.97257044;16.96403861;41.20886749;63.59975294;44.79382299;133.02935247;128.13437095;12.82392386;39.35230174;84.09617471;46.5278213;11.466453999999999;105.03833786;34.62512374;65.68162459;13.63779303;89.12571929;31.92862775;23.32889312;60.83795125;81.09907779;49.10853865;22.3064505;60.25760431;92.85871481;103.01554369;3.0006527000000003;12.513717699999999;51.875943299999996;98.21049299;8.69526447;39.25186071;40.85796442;12.25325269;16.62703295;31.97812276;46.85543912;16.28440088;16.99143708;164.69567563;77.96959507;129.80445839;17.57644335;6.68808991;40.81695443;45.87790012
60;4657.51811829;4207.4571213;5004.19227944;3453.99894401;7960.26820516;4046.57643006;5105.24401644;4617.88633169;3800.50744365;4818.60531982;7711.30387936;7033.79637611;11325.893875799999;6455.08907474;6530.41285;7157.59482092;4930.49434252;4898.08384583;5522.84191156;4787.12729189;4661.93408306;5778.02621029;3735.72367994;5853.67795209;6379.44049723;5267.88230381;4701.99411872;5220.85000424;6204.66087405;5579.79690603;5689.79584992;5821.40039597;6011.82380721;13999.4717514;5464.62879642;5545.32934551;9442.09689358;5197.64393393;8162.72772627;9476.67184696;4146.35131302;8294.24789894;6374.62680777;5120.08848228;6209.1881845;6206.57331383;4799.94052956;5350.73068542;6083.60942865;6225.75076392
63;687.31010093;670.44335749;687.55087964;659.4805257999999;907.38031546;757.62688837;913.07670413;644.52510651;627.74256101;662.06839188;645.9865105;829.81469275;913.58702909;624.68235431;774.00714643;784.60084354;567.69703253;482.6148433;649.56717993;713.19990777;721.42868009;681.06916604;588.01278382;551.44650379;845.88974331;887.49904512;787.78030319;782.8413459;942.45202693;633.51888038;943.89516361;811.67108666;719.81735574;756.23035026;915.10999622;782.19681755;727.48195756;837.55440747;1067.04310963;698.81037835;667.65700615;785.91358403;805.33712719;702.69423225;747.34574734;590.97017397;643.23423789;816.32796001;828.66272994;830.23472657
71;1619.39912535;1389.96542464;750.38105209;871.64744917;966.52800091;1503.15295081;691.1823718999997;642.57499483;751.37587702;721.37370565;547.2944122;1190.70267039;634.45674337;1454.69734441;1531.84553712;1002.16777837;697.33510927;457.83914951;1284.89343221;1411.61610705;1402.55500584;1510.22220305;706.94246755;1231.13973027;1115.4326563;1272.77959758;1506.70143088;968.10882343;1192.71727626;799.7172465;1090.25626953;885.3475597999999;821.91132479;566.77342243;1088.97781192;820.65962072;264.09468199;850.45736271;901.05296595;1451.08541454;1570.07709612;1679.74425906;2017.79753053;1263.51697506;1183.59342821;713.68311498;1627.93866791;905.84937682;649.52551891;1499.61926758
72;4481.90947962;3895.29724801;3938.96262631;3899.99259701;3263.94643483;4403.34321331;3853.50829238;2688.59875596;3845.16486371;3957.66446224;3137.59278297;4408.59522121;3285.99092714;2433.65810196;5127.36368601;4526.59577441;3214.49564146;2980.76115528;3504.68527145;4128.18556425;2558.13066347;4035.38886635;3519.3375511;3113.5369339000013;4516.38210657;3823.97644347;4308.74657421;4053.36555034;4594.16062947;3886.51857518;4851.64579825;5295.08509273;3919.09178325;4233.30822572;5259.23453505;4701.93121526;3232.04702557;4413.12670179;4295.70529885;3836.94023321;2074.37636627;5295.65911414;4682.56627997;2825.21664638;4784.25734861;3066.80560108;3871.44760118;4199.578762;3676.70612056;4152.15276609
107;357.67313695;653.06582906;334.39782824;416.71815236;789.96769523;642.25854719;388.35534488;608.87653728;365.69487428;1496.65000362;489.77186212;338.78159781;1292.40792735;318.06697689;269.59772874;601.2091893999999;1666.81141896;1431.10210186;184.61264871;357.12349991;577.54127378;529.0100891;1593.10055359;1428.674828;266.41146603;484.436119;191.71933745;667.59943115;241.96377634;1054.80206874;406.70725914;698.64024784;1495.03240581;2045.78577837;457.34204036;482.98608899;1275.69627281;1165.82515384;602.70133606;229.67821692;255.70063894;355.86918447;353.06759137;858.5216292000001;280.45635788;495.78537047;593.0814909;451.33638637;544.45407595;222.58258238
125;319.64930469999996;246.31611677;267.59434983;273.26326796;365.80821546;255.19477949999998;280.39316628;265.3637216;347.54035919999984;272.75471091;213.83386529999999;257.93603777;294.70185937;288.50195639;239.9626826;391.99081403;282.37862956;272.585646;320.84399599;314.78354345;368.08807363;265.28219338;256.9620348;296.53460772;339.33368253;323.63742941;268.63936772;263.14916249;309.29180164;376.71739666;302.814236;331.72453325;372.02408189;860.03170764;287.13795553;466.81981806;403.90425819;463.41919705;628.40930104;393.86347636;241.48717579;351.50196247;332.07563673;273.28086815;299.3877627;323.96699273;361.46377528;318.80305094;413.9876555;315.84539946
131;3821.42479111;2902.03276083;3101.84334875;3188.84790333;3253.24702194;3168.40225036;3320.59048281;2441.69194467;3650.13962981;2474.68436838;2670.09891266;4423.86196589;3627.15778391;3234.90141316;3654.84082861;3376.46463231;2362.71123763;2482.45257528;3123.75763595;3474.14235592;3581.00650775;4167.32578377;2298.69580366;3025.12679769;3881.59246399;3769.37311435;3056.04091206;2771.66706776;4118.68926145;3760.55980447;4361.89834704;4064.39960308;4257.53744884;4998.60460672;4418.03599164;3528.115506800001;2851.71500709;4423.88839345;6730.07274681;4568.88551071;3753.84182681;4799.83132464;4470.0021361;4031.46702126;3535.17385386;2754.38068631;4074.8833829000014;3834.7778114;4018.55415101;3878.76266366
139;2530.23255615;2461.48884254;2079.87775792;2021.852193;2062.57249243;1871.36278637;2010.6492053;1854.36279214;2284.66646328;2161.15437059;2074.04996284;2321.10156775;2403.49304995;2422.83811672;1970.38986846;1758.58048787;2363.155706;2121.1943930999996;2073.42397497;2627.9730016999997;2118.73548233;2337.41895433;1987.39539209;2395.90013694;2362.76868122;2043.30945331;2457.6187288;1920.61757744;1877.92003977;2121.4031352;2299.9848351;2165.29499728;2463.28467274;2535.23429422;2030.9776946;2446.17765733;1760.52142211;2428.13529558;2690.47726056;2770.71973525;2133.01198369;2206.22094393;2375.11445796;2119.9432696;2204.72890176;2075.94933421;2323.19184898;2268.74223433;2326.81002871;2464.39182612
148;5522.05047872;6382.07654525;5020.83571192;6428.29699985;8227.94873676;5549.59006995;3199.35165858;4996.03543556;6069.52870838;6590.08483963;3917.05719996;5872.12740925;5212.79569627;5101.66862844;6486.84735613;6223.60717145;4036.85176981;2116.64882575;5564.97198893;5607.0577008;6509.63780593;5502.79444519;2924.8063249;4120.64064659;9665.1518255;7276.45925548;6194.333536300002;6137.87257021;5202.41997316;6098.74772548;8578.84208814;5498.97257697;6474.24532849;9444.3039067;9087.5852268;5267.67483061;4355.02799787;8034.66853655;15619.627824700001;7854.84832196;6567.34774087;8343.78802629;7949.88163707;5204.38556699;3491.57672368;3417.89192893;6641.60429657;6345.85030305;7854.62684373;7062.01547889
165;399.72290883;364.65150543;362.09844533;306.38827126;427.91480271;347.99006186;407.49200233;298.02421669;454.72984249999996;740.76048507;394.48715519999996;314.54969333;661.34318629;337.25799383;277.42818961;393.29507072;839.46849026;692.70563214;247.77204914;439.80239638;308.91195321;200.77396234;838.28015349;592.04638617;252.84087313;315.88413276;245.7334147;548.4040784;253.04357864;574.10862227;292.25564362;494.70864083;487.85362577;347.87077371;384.49818888;391.50077982;408.02016314;540.66791189;282.91984795;110.23300378;198.16993782;294.52994079;321.40932105;238.45734906;332.95630233;296.79601094;345.88754482;411.95215511;269.3021131;217.60591083
195;1629.03094926;1409.33507718;1382.7970963;1253.92109462;963.21826458;1733.14176947;1768.9090862;1383.67829557;1691.32093849;1327.88576242;1218.71353924;1698.56176475;1256.16651771;1366.94861519;1637.61224359;1449.60030274;1371.86166064;1149.4938465999999;1151.62410024;1619.51397017;1658.94945475;1868.90296691;1670.75256981;1787.53563278;1423.33451856;1513.10113921;1573.05192945;1568.85762907;1423.83093914;1212.178342;1894.05411929;1953.23380339;1690.94049967;1438.14933989;1911.06428468;2304.34987552;1496.92718927;1728.08652009;1395.02133564;1793.44575333;1582.65719304;1974.17948279;1672.6422695;1761.82831583;1350.35849574;1476.35422299;1827.09998079;1813.05387438;1622.09944116;1614.88479629
200;9277.21203848;10052.529451100001;7545.76020212;8692.20068042;12336.960159999999;9082.04806298;4887.62765317;8680.62862138;5862.67345789;5788.98829164;5796.05840357;9599.63553291;6448.85222279;11464.190534700001;5440.76452045;8068.367569;3514.82771284;2274.27089779;10363.878190000001;8223.37192336;8057.73580677;5797.73910182;5389.09147623;7838.88241168;12968.3681357;7584.68564917;10219.213940000001;8082.32559487;7756.86447649;6750.59008469;6298.55781271;6889.00760652;9270.03788529;12111.8808689;6877.61719457;6971.98977791;5548.16303368;8492.19792799;14526.6999044;9435.40092316;13138.040519499995;7854.85100215;10058.5801291;9241.46773026;4920.50514102;5662.87853659;6903.00438487;8469.6650544;10827.8016576;9165.44556124
201;2371.36828898;1713.40502813;2348.33332052;2208.64488977;2228.03166742;2340.4948696999995;1182.87169036;1107.43301586;1646.37827624;959.345134;1104.74224886;2141.55562314;1240.71175588;1071.03954774;2555.09300154;2410.27565769;636.71459336;347.19446994;2007.75412974;1806.7391603;1969.66837281;1519.95481284;725.03845006;1055.96682057;2983.83824995;2191.80329554;2710.39127465;848.75632755;2391.20056464;1048.46650146;2297.17250921;1375.20824353;1316.53523882;1362.19777734;1837.92153869;1280.27671458;773.90496343;1611.60198567;3591.74220575;2671.04033298;2143.59275109;3167.29401615;2820.82634626;1194.52548361;1098.52818853;782.42169326;2404.24577816;1646.99823175;1636.08226821;2508.72981134
234;1615.6581705;1779.73457953;1404.10865482;1288.75873606;865.78299667;1366.59137052;1942.8594186999999;1047.59597903;1353.54579349;1354.4261689999996;1372.49302492;1425.62031586;1854.68708721;1488.55438118;1238.3517178;1182.42380108;3271.1043879;2715.20384517;1687.49563188;1790.27476188;1584.22425185;1815.13374224;2920.15077429;2799.57616489;1268.11085557;1137.78713246;1472.65154992;1523.41526281;1254.56018381;1827.97805802;1825.52591272;1643.13472176;1817.78240851;2144.77694734;1157.91412146;1685.86593193;1158.36937032;1862.58362531;1179.08400133;1681.89448678;1231.76275943;1345.55016678;1372.84018026;1536.81476632;1431.08587506;1671.80436119;1439.73608705;1589.89658495;1147.73967324;1212.84443296
240;116.89905424;80.96508768;96.25900085;105.88837163;163.38366597;81.99914577;107.24619569999999;109.71162109999999;95.81655523;105.62645721;118.2618769;81.15020893;91.60641797;135.76300556;124.40554424;121.55395844;72.64678911;74.11638969;100.27847376;84.51739248;110.40158483;80.08689198;58.43865621;93.77992298;129.50785383;119.06099392;117.09279535;110.33877520000001;122.50916833;112.56616309;97.67466983;115.90197779;128.25591431;246.07302773;118.05621181;120.33384348;150.62340551;109.01303111;181.40000954;139.58042491;114.86464923;130.51367248;97.44373023;138.18589578;119.59202822;133.27665251;86.41008555;75.47822712;159.42494759;103.92684255
256;252.84826435;523.21089125;610.68844675;473.35909272;374.96674605;195.26209605;209.48084227;512.79247847;642.63022927;525.63189683;220.93317272;333.63766208;477.96656216;312.01412202;160.52436403;199.54866536;854.6585587999997;1028.23646335;310.31921135;351.51286265;264.0307538;228.00090879;504.77618271;522.58810899;304.30128376;159.53037384;170.29933208;397.96095531;205.64369846;725.84470274;144.70347809999996;285.1799917;401.15537058;325.41613913;119.66706242;369.35305735;316.72707205;403.41492806;307.70203997;227.76618304;217.99558198;160.80587946;149.83313122;413.98803101;227.04657501;269.40486360000006;413.19407399;238.10580281;153.76429387;120.68501191
259;2467.08618033;1737.85460126;1637.81656237;2257.12186007;2847.68514876;1878.56811162;1167.16786796;1522.20659947;1890.16533175;2084.47768743;992.14783333;1977.3538356;1813.20770173;2181.60606988;1718.43253192;1571.01414319;1717.27871742;1030.25996459;2397.46934944;1627.63933396;2345.87289033;1958.19218327;815.87476141;1709.34587587;2461.00660144;1829.89163802;2349.09283293;1732.11056017;2565.2614961;1756.2878475000002;2017.14878843;1314.90058057;1757.37962838;2871.75978513;1472.16727034;1802.29300202;2015.57000313;2132.89586484;3986.94194386;3374.27048351;2406.10234362;2933.58994675;2213.11784338;2887.84268236;1654.93561687;2158.10572555;2476.21924274;1494.9314335000001;2138.76668313;2418.89951565
260;3265.37668712;2563.42045942;3504.7428655999997;2765.51124015;3362.87373089;2972.65799371;2873.67960087;3291.32645316;2277.0448690000007;2669.96990821;3249.54630029;2789.6877258;2208.89770937;2064.08013057;3128.17696193;4610.01915942;1629.87127008;1752.36127206;3427.96640401;2739.12223095;2085.97930207;2248.01600145;1600.91564634;2504.03119759;4180.85858712;3506.44279258;2897.99698992;3291.34259995;3395.16967336;3082.0828592;3307.67385818;4201.25661978;4171.70492527;6824.48441291;3434.17295224;3924.2513908;2927.48323343;2734.33748044;7390.21078332;3475.49547059;1309.05459616;4653.72852396;2991.88035064;2866.43183642;3032.21141912;2817.04450091;2649.45055414;2518.05798172;4735.93510522;2919.62118662
277;1182.35485791;1152.40203557;1266.03285111;1332.0230175000004;1617.78455362;1165.40946043;936.29408111;1304.37604233;1531.03546604;1277.90165299;838.44871904;880.49458441;1491.15841891;1168.3343454;961.50545273;1127.3357686;1627.12924839;1235.17773539;1057.51801446;1521.40169528;1269.12349226;1206.81278084;1272.34542619;1676.24194643;1163.184422;1409.02131232;1089.11003907;1060.5203826;964.45694048;1813.14905451;1213.40283971;1710.13009784;1722.96966367;1802.0791116;982.83082289;1505.0449992000001;1366.30445057;1946.97941438;1522.23851718;1085.96238311;1187.53908583;1094.53434137;650.59486982;979.57804741;986.24489745;935.00936705;1150.72407539;909.65280425;1136.75991974;969.92252437
285;626.70539307;1215.33023862;780.87066402;788.14108596;659.88461277;841.79990032;591.7552268999998;557.28329069;785.69791689;700.43215867;357.42794231;661.4474631;644.00907145;482.72883509999997;602.36302121;744.07036493;621.63707104;408.43510638;619.01038976;706.33941762;789.1939712999997;697.03306353;719.40708255;533.19026773;876.73936725;670.72625078;898.59396317;736.68927542;645.500261;449.21156875;947.32453551;418.31782107;395.79221526;530.24181996;865.69468118;825.04754059;349.13799164;620.19566356;509.92626222;930.8972848;613.73627254;774.68344133;875.45454868;296.85580659;333.20463009;304.96340541;825.55755055;1013.23323194;637.76822399;766.14293889
291;185.20394283;199.96657746;21.72271985;369.14960337;344.38078012;214.14048163;38.762104;56.75557838;636.50053572;336.88961892;215.32048483;72.72914727;45.38124370000001;320.86210037;275.77311936;217.03536912;351.77978838;87.11969282;148.31373091;110.2878838;178.97198243;200.61308609;75.14535889;134.07740057;116.91186958;162.58575412;141.44253675;29.9951261;292.12251047;305.08745578;196.76356911;121.04942048;29.75747711;258.74255598;149.57258882;891.08576135;9.13704994;191.62947373;164.75278309;579.1345837;102.57916296;77.86960577;42.691646999999996;76.77998423;24.42920886;72.87158074;389.11807914;18.70818897;189.26749317;229.61534285
304;3249.45257714;3750.25200202;2968.09689375;3008.71416103;3246.6403503;3375.804974800001;1899.44733235;2965.23204435;2880.2319553;2617.41047766;2073.88652416;2911.501598;2073.15685777;2099.12787778;3702.59603265;2714.22710011;1948.74817096;956.17147637;2756.48384879;2024.40773914;2810.96647561;3568.09465434;1761.87157645;2428.05746689;3321.40981244;3520.55285818;3147.90778188;2584.71858807;2826.88796489;2143.0711311;4140.78565452;2433.91673069;2631.09865218;1336.35211142;4677.31497873;2574.3709353;1596.30633121;2704.9786535;3430.0746861000002;3863.5423763999997;2741.11421957;4537.97510932;3211.36909344;1122.81725331;1650.36640398;1389.28638833;2809.83167629;3392.30244886;3972.85089402;3083.23417271
319;530.44445628;834.02482258;597.5369171;377.25605646;440.08217937;539.54597479;421.70326172;231.42929046;340.60013714;279.28943319;347.83486375;471.03525795;867.68830284;708.66647027;525.92230876;398.49846518;309.98071284;246.99192753;321.98194047;557.1550758999998;768.42689866;329.91175144;277.58885972;556.48550336;431.75200107;454.61431299;506.97685087;328.11567059;438.35613051;167.37844039;420.26421266;346.51824945;409.66946223;258.05288579;652.74854058;524.60040713;214.31029125;314.10960575;448.87994526;343.79665921;546.93210588;434.71488893;419.48102784;820.01934312;452.15971631;186.46928184;451.21469019999995;582.9491257999998;388.52728194;650.4002986
320;4523.70425344;5006.70368815;3962.82311078;3976.92185538;5517.06165389;4156.99362921;3472.62895762;3657.060054;4049.0733671999997;4144.14052174;2609.53943523;3622.82141097;4985.9816288;5016.3667626000015;4367.99501778;4438.85707345;4735.06396222;2479.77174351;4173.51829855;4327.497284100001;5400.16262414;3931.63768512;3270.75111511;4098.83901095;5484.09558014;4911.99730877;4199.10545234;3914.31334815;4190.8995563;3773.69301845;5757.02204595;4180.41879532;4489.22106322;4255.42534626;5774.65298188;5188.70450022;3782.54419697;4889.83478789;5892.31867195;5692.14326174;5603.24827122;4363.69674115;4270.10718153;5751.92728434;3553.07879244;3457.06090618;4317.68284116;4212.79750721;4780.83715919;4488.94756521
354;48.58252606;92.41701015;64.99320072;53.55313846;116.10254437;58.70786457;74.67054024;169.67104393;51.19811642;115.19630032;135.15566040000002;60.47687621;89.69846109999996;124.16499037;43.69280071;62.94207683;54.75195063;37.49639107;83.29643429;52.70144293;92.68718773;52.78060882;86.52014609;103.75581842;69.11199479;51.91941467;42.83916909;135.7369749;71.38655673;52.04703392;87.04858201;127.95167202;166.03135289;327.73638985;125.60442641;160.4674649;86.04984696;112.55501327;141.56048328;51.69132148;48.81455643;67.59907113;48.34810744;96.54415058;85.98582483;148.78675539;73.49316178;88.03966009;150.64469509;61.58976919
364;492.15328461;587.10339532;445.04425379;421.75295688;486.81997728;500.92208922;531.60476852;388.97042997;457.57987892;313.94443925;275.30789629;777.33076831;1203.60683993;975.66365183;532.37456683;498.95696893;292.87064096;177.0495456;487.01110315;529.38286122;702.8758097;494.84480923;309.32527938;689.89885968;566.39180943;428.61573764;633.44276137;332.54512085;427.47581369;476.05101831;609.35396522;484.41687543;322.91741022;519.94952903;433.67212989999996;323.4020573;406.85223464;467.19965711;1071.26156012;853.51720335;548.53962261;514.34165279;594.6552922999998;826.53240369;409.80629867;192.42498373;536.26873532;675.64665382;374.04432267;619.11773657
373;1616.76214676;1872.95679586;1264.55944576;1306.88597333;1140.28756626;1929.50934512;1490.51427791;1017.55957083;1396.81275825;1219.95061703;1136.41974379;1680.81644588;1362.47104932;1767.92641063;1585.5335929;1360.39126776;1880.8842616999998;1688.14866415;1359.76011089;1796.51891375;1898.6002202999998;1893.41623683;1994.82519518;1636.63611125;1042.17481474;1204.65771774;1640.29137323;1456.25216922;1759.99178125;1607.03781311;1921.15005336;1951.83449937;1127.04498864;1599.00285918;1940.51442256;1994.53082273;1489.41261743;1798.48004393;876.07484934;1376.98862505;1743.77976166;1980.6088829;1616.02679905;1797.56046727;1550.13653525;1201.90324497;1799.21719296;1676.52755983;1402.1526405;1514.96960358
406;910.77619861;827.77746587;779.6130357000003;724.63562504;695.31352145;1149.53045821;963.65007145;1037.0578157;997.26321579;1088.7860878;870.49763459;783.80849058;1103.58238897;956.26929009;712.35381163;629.59149196;1200.60331435;960.98171368;759.82620253;994.67407234;1031.58434169;884.84631363;1354.94763076;1292.61991526;976.13255533;874.30529368;674.7263191000002;975.09448124;524.97108575;911.03858424;987.99801011;1070.69299329;1322.03343427;1227.04115911;825.60022839;1255.77264523;1193.06059533;1095.73560321;973.63959863;1014.43565478;911.0512288999997;806.24734171;654.81328087;1169.308835;721.77120322;1061.29378246;1064.54475903;968.4865025;1173.44721304;719.90331641
